1766, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
1766, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
1766, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
1766, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
1766, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
1766, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
1766, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
1766, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
3, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
3, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
3, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
3, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
3, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
3, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
3, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
3, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
3, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
1977, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
1977, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
1977, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
1977, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
1977, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
1977, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
1977, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
1977, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
1977, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
2652, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
2652, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
2652, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
