3, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
3, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
3, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
3, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
3, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
3, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
1977, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
1977, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
1977, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
1977, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
1977, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
1977, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
1977, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
1977, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
1977, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
2652, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
2652, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
2652, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
2652, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
